1,"(-35.439068023723166,104.90019945687405)",636630976,6,1
2,"(1.0484794554054702,21.472333694583746)",372241560,3,2
3,"(33.711870877556635,169.6145776480038)",859332224,6,3
4,"(-52.279784708449526,30.99381874573975)",675222555,6,3
5,"(7.411713588364449,59.1781072302274)",286613061,3,1
6,"(-14.596652117049032,104.47138015459322)",124469955,7,1
7,"(66.41344813692277,60.92945147747085)",591643050,3,1
8,"(18.74587315043499,5.50746530415741)",925229391,7,3
9,"(-65.14852080734745,169.23503217880858)",1316629648,3,1
10,"(-40.37480629602703,82.0428272158067)",1286341356,7,1
11,"(-71.0152399539566,47.66579496088787)",10944373,6,4
12,"(45.84172461306562,19.03772261593015)",1511360225,7,4
13,"(-35.133047381818216,96.76733483118542)",602855997,6,4
14,"(61.43446794116096,125.05757152154422)",262433190,7,3
15,"(69.76646083239461,87.91944021553658)",936548645,3,1
16,"(-37.37030984482008,108.39704500936449)",1334237113,7,3
17,"(7.616121750038559,22.888518326835257)",269863101,3,3
18,"(8.814191991969338,24.802791485220776)",1309366577,6,2
19,"(83.65621416306891,157.0485120094759)",453293491,7,2
20,"(47.78824471500377,167.62303101019728)",78406923,3,1
