22,1,1942-04-01 09:03:29,0.52
30,1,1942-04-01 09:03:29,0.54
26,1,1942-04-01 09:03:29,1.12
8,1,1942-04-01 09:03:29,0.65
14,1,1942-04-01 09:03:29,0.7
4,1,1942-04-01 09:03:29,0.84
33,1,1942-04-01 09:03:29,0.6
20,1,1942-04-01 09:03:29,1.14
32,1,1942-04-01 09:03:29,0.48
23,1,1942-04-01 09:03:29,0.75
10,1,1942-04-01 09:03:29,1.17
12,1,1942-04-01 09:03:29,1.27
2,1,1942-04-01 09:03:29,0.57
9,6,1942-04-02 12:26:33,0.59
20,6,1942-04-02 12:26:33,0.59
3,6,1942-04-02 12:26:33,0.32
7,6,1942-04-02 12:26:33,0.64
13,6,1942-04-02 12:26:33,0.31
19,6,1942-04-02 12:26:33,0.52
23,6,1942-04-02 12:26:33,0.59
11,6,1942-04-02 12:26:33,0.65
4,10,1942-04-02 18:42:26,1.4
29,10,1942-04-02 18:42:26,0.73
21,10,1942-04-02 18:42:26,1.53
26,10,1942-04-02 18:42:26,0.31
14,10,1942-04-02 18:42:26,0.36
31,10,1942-04-02 18:42:26,0.59
1,10,1942-04-02 18:42:26,1.33
24,10,1942-04-02 18:42:26,0.66
3,10,1942-04-02 18:42:26,0.97
15,10,1942-04-02 18:42:26,1.21
17,10,1942-04-02 18:42:26,1.15
12,10,1942-04-02 18:42:26,1.09
26,7,1942-04-01 11:59:19,0.55
25,7,1942-04-01 11:59:19,0.61
16,7,1942-04-01 11:59:19,1.06
6,7,1942-04-01 11:59:19,1.44
7,7,1942-04-01 11:59:19,0.8
2,7,1942-04-01 11:59:19,0.99
4,7,1942-04-01 11:59:19,1.22
14,7,1942-04-01 11:59:19,0.55
28,7,1942-04-01 11:59:19,1.27
12,7,1942-04-01 11:59:19,0.9
17,7,1942-04-01 11:59:19,0.66
27,7,1942-04-01 11:59:19,1.06
1,7,1942-04-01 11:59:19,0.55
23,7,1942-04-01 11:59:19,0.51
31,7,1942-04-01 11:59:19,0.55
5,7,1942-04-01 11:59:19,0.46
19,7,1942-04-01 11:59:19,1.07
21,7,1942-04-01 11:59:19,0.59
5,11,1942-04-02 18:16:41,1.58
8,11,1942-04-02 18:16:41,1.72
3,11,1942-04-02 18:16:41,0.45
11,11,1942-04-02 18:16:41,1.58
15,11,1942-04-02 18:16:41,2.61
1,11,1942-04-02 18:16:41,1.59
27,11,1942-04-02 18:16:41,0.79
9,11,1942-04-02 18:16:41,0.56
16,11,1942-04-02 18:16:41,2.47
23,11,1942-04-02 18:16:41,0.58
20,11,1942-04-02 18:16:41,1.48
7,11,1942-04-02 18:16:41,2.68
21,11,1942-04-02 18:16:41,1.62
10,15,1942-04-03 10:47:59,0.51
19,15,1942-04-03 10:47:59,0.45
15,15,1942-04-03 10:47:59,1.03
24,15,1942-04-03 10:47:59,1.42
23,15,1942-04-03 10:47:59,1.46
21,15,1942-04-03 10:47:59,1.57
20,15,1942-04-03 10:47:59,0.91
13,17,1942-04-01 12:19:40,1.98
3,17,1942-04-01 12:19:40,0.43
28,17,1942-04-01 12:19:40,1.13
1,17,1942-04-01 12:19:40,1.42
25,17,1942-04-01 12:19:40,0.68
19,17,1942-04-01 12:19:40,1.1
10,17,1942-04-01 12:19:40,1.77
32,17,1942-04-01 12:19:40,2.03
30,17,1942-04-01 12:19:40,1.58
21,17,1942-04-01 12:19:40,1.11
5,17,1942-04-01 12:19:40,1.7
2,17,1942-04-01 12:19:40,1.61
22,17,1942-04-01 12:19:40,1.31
11,17,1942-04-01 12:19:40,0.6
6,17,1942-04-01 12:19:40,1.47
12,17,1942-04-01 12:19:40,1.7
15,17,1942-04-01 12:19:40,1.99
31,17,1942-04-01 12:19:40,0.79
16,17,1942-04-01 12:19:40,0.99
2,18,1942-04-03 17:46:47,0.37
18,18,1942-04-03 17:46:47,1.91
27,18,1942-04-03 17:46:47,1.35
15,18,1942-04-03 17:46:47,0.85
29,18,1942-04-03 17:46:47,3.6
14,18,1942-04-03 17:46:47,3.07
24,18,1942-04-03 17:46:47,3.23
1,18,1942-04-03 17:46:47,2.48
32,18,1942-04-03 17:46:47,1.93
17,18,1942-04-03 17:46:47,3.93
